FileSize,QPS,TotalQueries,Failures,SuccessRate,TotalTime
10k.txt,1,2,0,1.0,2.044180154800415
10k.txt,2,4,0,1.0,2.0740163326263428
10k.txt,5,10,0,1.0,2.142573356628418
10k.txt,10,20,0,1.0,2.2833478450775146
10k.txt,20,40,0,1.0,2.543543815612793
10k.txt,30,60,0,1.0,2.7825310230255127
10k.txt,40,80,0,1.0,2.846822500228882
10k.txt,50,100,0,1.0,3.3954172134399414
10k.txt,75,150,0,1.0,4.2357141971588135
10k.txt,100,200,0,1.0,5.4675304889678955
100k.txt,1,2,0,1.0,2.037484884262085
100k.txt,2,4,0,1.0,2.060295581817627
100k.txt,5,10,0,1.0,2.1193900108337402
100k.txt,10,20,0,1.0,1.4473791122436523
100k.txt,20,40,0,1.0,2.545142412185669
100k.txt,30,60,0,1.0,2.7503111362457275
100k.txt,40,80,0,1.0,3.022630214691162
100k.txt,50,100,0,1.0,3.1769485473632812
100k.txt,75,150,0,1.0,3.46205735206604
100k.txt,100,200,0,1.0,3.8104357719421387
500k.txt,1,2,0,1.0,2.05330753326416
500k.txt,2,4,0,1.0,2.0890939235687256
500k.txt,5,10,0,1.0,2.1532444953918457
500k.txt,10,20,0,1.0,2.2933108806610107
500k.txt,20,40,0,1.0,2.5399038791656494
500k.txt,30,60,0,1.0,2.7370193004608154
500k.txt,40,80,0,1.0,2.8173935413360596
500k.txt,50,100,0,1.0,2.9530982971191406
500k.txt,75,150,0,1.0,3.411264419555664
500k.txt,100,200,0,1.0,3.723315715789795
1M.txt,1,2,0,1.0,2.02972674369812
1M.txt,2,4,0,1.0,2.0582778453826904
1M.txt,5,10,0,1.0,2.1392340660095215
1M.txt,10,20,0,1.0,2.2670154571533203
1M.txt,20,40,0,1.0,2.5338573455810547
1M.txt,30,60,0,1.0,2.8197193145751953
1M.txt,40,80,0,1.0,2.889321804046631
1M.txt,50,100,0,1.0,2.9905974864959717
1M.txt,75,150,0,1.0,3.4211387634277344
1M.txt,100,200,0,1.0,3.804617166519165
